iter	RMSE
258	633.5437632
259	633.252086
260	633.0497671
261	632.5671361
262	632.0160406
263	631.5701639
264	631.2943169
265	631.2811292
266	630.8716077
267	630.1874479
268	629.6585882
269	629.3090392
270	628.7687942
271	628.0864667
272	627.7550271
273	627.5183411
274	627.0105971
275	626.3158585
276	626.0936179
277	625.7481825
278	625.5302541
279	624.9209523
280	624.7054081
281	624.4348032
282	623.8902157
283	623.2949852
284	622.5193684
285	621.9859298
286	621.6963701
287	620.8905224
288	620.4480041
289	620.2190937
290	619.6717151
291	619.0305357
292	618.2915419
293	617.6784567
294	617.3168807
295	616.7894143
296	615.8321949
297	615.5768297
298	615.3918306
299	614.4060015
300	614.1492766
301	613.8208373
302	613.1412859
303	612.3965818
304	612.1474988
305	611.7483308
306	611.1155969
307	610.4960608
308	610.3498644
309	609.8740158
310	609.4567947
311	609.1776619
312	608.8068207
313	608.5522904
314	607.9118052
315	607.0470275
316	606.8751186
317	606.3065928
318	606.2010457
319	605.8677591
320	605.5843199
321	604.9796903
322	604.8052217
323	604.5372376
324	604.2507784
325	603.7504039
326	603.0558419
327	602.7069394
328	602.6027397
329	601.8181134
330	601.477147
331	601.0361724
332	600.5281922
333	600.241542
334	599.9219643
335	599.6775006
336	599.1060641
337	598.9196718
338	598.3821314
339	597.9218939
340	597.5070771
341	597.0934093
342	596.7459717
343	596.369121
344	595.7783103
345	595.2898773
346	595.0158799
347	594.8924927
348	594.4322379
349	594.0575581
350	593.781574
351	593.5209379
352	593.3889731
353	592.7165201
354	592.3255743
355	592.1255961
356	591.9073428
357	591.7761111
358	591.4355686
359	591.197727
360	590.8181198
361	590.5223201
362	590.1376992
363	589.8541326
364	589.4061686
365	588.7747736
366	588.077922
367	587.7932535
368	587.4521413
369	586.9805888
370	586.8635523
371	586.4589965
372	586.3688267
373	585.9915056
374	585.7159343
375	585.5621379
376	585.2266639
377	584.8875865
378	584.5003103
379	584.311986
380	583.9767078
381	582.7881931
382	582.4450562
383	582.3054181
384	582.0328769
385	581.309118
386	580.9221398
387	580.7034965
388	579.9454522
389	579.405022
390	578.9319168
391	578.4544414
392	577.995969
393	577.6172931
394	577.4082069
395	576.737142
396	576.5015935
397	576.1438375
398	575.6481824
399	575.5036855
400	575.2329665
401	574.8820064
402	574.7572149
403	574.3115228
404	574.1383689
405	573.6964427
406	573.3327155
407	573.2041993
408	572.996909
409	572.5143433
410	572.1630867
411	571.7859512
412	571.5586069
413	571.2145767
414	570.6658096
415	570.5328734
416	570.1628603
417	569.9983752
418	569.4145752
419	569.2172712
420	568.6448748
421	568.4113833
422	568.0816781
423	567.6891036
424	567.3890386
425	567.1081063
426	566.7542691
427	566.6627781
428	566.3299944
429	566.0104002
430	565.5779928
431	565.3524727
432	564.7096699
433	564.2961773
434	564.0457531
435	563.9018062
436	563.6039489
437	563.307024
438	563.0685253
439	562.9215797
440	562.7104158
441	562.481752
442	562.4108204
443	561.9929423
444	561.7415892
445	561.4956511
446	560.9349092
447	560.6104434
448	560.3340958
449	559.9425011
450	559.493628
451	559.3583522
452	558.9521601
453	558.5725987
454	558.2855721
455	558.0945582
456	557.9457879
457	557.7284044
458	557.4532685
459	557.0956827
460	556.6829434
461	556.3110322
462	556.1983854
463	555.9285737
464	555.5128017
465	555.3931731
466	554.9702872
467	554.5649108
468	554.4823146
469	554.0418154
470	553.5785294
471	553.0663894
472	552.8796691
473	552.5809449
474	552.3318139
475	552.2454862
476	552.163668
477	551.9342424
478	551.6917335
479	551.5482467
480	551.2237411
481	550.8712955
482	550.7414387
483	550.6600066
484	550.2299504
485	550.0424111
486	549.6613384
487	549.2429415
488	548.9657224
489	548.7532525
490	548.3360073
491	548.1648085
492	547.6664158
493	547.5737726
494	547.4382599
495	547.0717493
496	546.687958
497	546.3502332
498	546.0655557
499	545.7044297
